Imie	Nazwisko	Miasto	D_wyj	D_powr	Koszt_wyj
Bogumiˆ	Lubelski	Radom	2014-07-07	2014-07-08	302,50
Albert	Marakasz	Olsztyn	2014-07-07	2014-07-07	363,80
Lidia	Opolska	Kutno	2014-07-07	2014-07-11	794,80
Maria	Ozimek	Kutno	2014-07-07	2014-07-11	794,80
Narcyz	Polanicki	Siedlce	2014-07-07	2014-07-08	295,40
Gustaw	Poznanski	Krakow	2014-07-07	2014-07-08	706,50
Piotr	Rajczakowski	Kielce	2014-07-07	2014-07-08	485,70
Jan	Rzymski	Kielce	2014-07-07	2014-07-10	841,70
Albert	Marakasz	Kalisz	2014-07-10	2014-07-10	442,00
Wiktor	Czekan	Radom	2014-07-11	2014-07-11	178,50
Sebastian	Argonski	Olsztyn	2014-07-13	2014-07-16	852,80
Marek	Trzeski	Katowice	2014-07-13	2014-07-17	1290,70
Piotr	Rajczakowski	Krakow	2014-07-14	2014-07-14	501,50
Patrycja	Czarnoleska	Kielce	2014-07-15	2014-07-15	307,70
Marcin	Jarskarski	Siedlce	2014-07-15	2014-07-16	295,40
Wojciech	Magierowcz	Bydgoszcz	2014-07-15	2014-07-15	513,40
Paulina	Chorzowska	Mielec	2014-07-17	2014-07-17	442,00
Janina	Bolanowska	Kutno	2014-07-19	2014-07-23	794,80
Janina	Bolanowska	Radom	2014-07-19	2014-07-22	550,50
Zofia	Budzianowska	Olsztyn	2014-07-19	2014-07-20	526,80
Patrycja	Czarnoleska	Zgierz	2014-07-19	2014-07-23	688,50
Paulina	Dok	Bydgoszcz	2014-07-19	2014-07-20	654,40
Jerzy	Dusznicki	Kielce	2014-07-19	2014-07-20	485,70
Edwina	Elawa	Siedlce	2014-07-19	2014-07-20	295,40
Adam	Falski	Lublin	2014-07-19	2014-07-23	886,70
Justyna	Laska	Lublin	2014-07-19	2014-07-20	439,70
Marta	Nowowiejska	Lublin	2014-07-19	2014-07-21	588,70
Irma	Opoczna	Bydgoszcz	2014-07-19	2014-07-21	795,40
Piotr	Rajczakowski	Siedlce	2014-07-19	2014-07-19	156,40
Wiktor	Wroblewski	Bydgoszcz	2014-07-19	2014-07-23	1077,40
Marcin	Jarskarski	Malbork	2014-07-21	2014-07-21	680,00
Katarzyna	Piotrowska	Katowice	2014-07-21	2014-07-23	892,70
Rozalia	Siedlecka	Kielce	2014-07-21	2014-07-21	307,70
Anna	Augustowska	Lublin	2014-07-25	2014-07-28	737,70
Dominika	Bodera	Krakow	2014-07-25	2014-07-27	911,50
Kornel	Czerski	Zgierz	2014-07-25	2014-07-29	688,50
Marzena	Grab	Zgierz	2014-07-25	2014-07-29	688,50
Paulina	Maskor	Siedlce	2014-07-25	2014-07-29	712,40
Grzegorz	Podolski	Krakow	2014-07-25	2014-07-26	706,50
Piotr	Armowicz	Kutno	2014-07-31	2014-08-04	794,80
Piotr	Bojarun	Katowice	2014-07-31	2014-08-03	1091,70
Zofia	Budzianowska	Katowice	2014-07-31	2014-08-02	892,70
Kornel	Czerski	Mielec	2014-07-31	2014-08-01	570,00
Karolina	Janes	Lublin	2014-07-31	2014-08-03	737,70
Andrzej	Kolarski	Zgierz	2014-07-31	2014-08-04	688,50
Michalina	Lamda	Kutno	2014-07-31	2014-08-02	536,80
Albert	Marakasz	Olsztyn	2014-07-31	2014-08-01	526,80
Kazimiera	Parczewska	Malbork	2014-07-31	2014-08-04	1524,00
Daria	Paryska	Krakow	2014-07-31	2014-08-03	1116,50
Zuzanna	Piotrkowska	Siedlce	2014-07-31	2014-08-01	295,40
Grzegorz	Podolski	Katowice	2014-07-31	2014-08-01	693,70
Sebastian	Puchacz	Kalisz	2014-07-31	2014-08-01	601,00
Piotr	Roman	Malbork	2014-07-31	2014-08-03	1313,00
Tomasz	Rzepka	Kutno	2014-07-31	2014-08-01	407,80
Jan	Rzymski	Kielce	2014-07-31	2014-08-03	841,70
Zofia	Seredycka	Mielec	2014-07-31	2014-08-04	954,00
Piotr	Sworacz	Zgierz	2014-07-31	2014-08-02	450,50
Paulina	Basala	Kutno	2014-08-06	2014-08-07	407,80
Bogumiˆ	Lubelski	Krakow	2014-08-06	2014-08-07	706,50
Jerzy	Misiek	Mielec	2014-08-06	2014-08-10	954,00
Piotr	Rajczakowski	Zgierz	2014-08-06	2014-08-10	688,50
Zofia	Seredycka	Olsztyn	2014-08-06	2014-08-09	852,80
Bogumiˆ	Lubelski	Kielce	2014-08-09	2014-08-09	307,70
Patrycja	Andrycz	Malbork	2014-08-12	2014-08-16	1524,00
Anna	Augustowska	Olsztyn	2014-08-12	2014-08-13	526,80
Zofia	Budzianowska	Lublin	2014-08-12	2014-08-14	588,70
Eustachy	Bydgoski	Lublin	2014-08-12	2014-08-12	290,70
Edwina	Elawa	Kielce	2014-08-12	2014-08-14	663,70
Marzena	Grab	Kutno	2014-08-12	2014-08-14	536,80
Justyna	Kolska	Olsztyn	2014-08-12	2014-08-13	526,80
Wojciech	Krokus	Malbork	2014-08-12	2014-08-13	891,00
Wojciech	Magierowcz	Krakow	2014-08-12	2014-08-16	1321,50
Adam	Markowski	Katowice	2014-08-12	2014-08-12	494,70
Zyta	Mazurkiewicz	Zgierz	2014-08-12	2014-08-16	688,50
Jerzy	Misiek	Katowice	2014-08-12	2014-08-12	494,70
Malwina	Papkin	Olsztyn	2014-08-12	2014-08-14	689,80
Jan	Rzymski	Radom	2014-08-12	2014-08-16	674,50
Zofia	Seredycka	Kielce	2014-08-12	2014-08-14	663,70
Marek	Trzeski	Kalisz	2014-08-12	2014-08-14	760,00
Kamil	Zabrzeski	Olsztyn	2014-08-12	2014-08-16	1015,80
Jerzy	Misiek	Olsztyn	2014-08-14	2014-08-14	363,80
Zofia	Budzianowska	Malbork	2014-08-18	2014-08-20	1102,00
Paulina	Dok	Lublin	2014-08-18	2014-08-22	886,70
Marek	Holski	Siedlce	2014-08-18	2014-08-19	295,40
Adam	Markowski	Malbork	2014-08-18	2014-08-19	891,00
Irma	Opoczna	Olsztyn	2014-08-18	2014-08-20	689,80
Tomasz	Rzepka	Krakow	2014-08-18	2014-08-20	911,50
Piotr	Armowicz	Zgierz	2014-08-24	2014-08-26	450,50
Karolina	Arska	Malbork	2014-08-24	2014-08-28	1524,00
Andrzej	Barcz	Krakow	2014-08-24	2014-08-25	706,50
Wiktor	Budzis	Bydgoszcz	2014-08-24	2014-08-28	1077,40
Janusz	Jurkicz	Malbork	2014-08-24	2014-08-25	891,00
Kacper	Krajewski	Krakow	2014-08-24	2014-08-27	1116,50
Justyna	Laska	Zgierz	2014-08-24	2014-08-28	688,50
Irma	Opoczna	Krakow	2014-08-24	2014-08-27	1116,50
Zuzanna	Piotrkowska	Lublin	2014-08-24	2014-08-28	886,70
Tomasz	Rzepka	Katowice	2014-08-24	2014-08-26	892,70
Adam	Wradoch	Radom	2014-08-24	2014-08-28	674,50
Olivia	Gabor	Malbork	2014-08-25	2014-08-26	891,00
Kazimiera	Parczewska	Bydgoszcz	2014-08-25	2014-08-26	654,40
Kamil	Pomorski	Kalisz	2014-08-25	2014-08-27	760,00
Piotr	Roman	Kutno	2014-08-25	2014-08-26	407,80
Kamil	Zabrzeski	Bydgoszcz	2014-08-25	2014-08-26	654,40
Jerzy	Granica	Kutno	2014-08-26	2014-08-27	407,80
Zofia	Maselska	Katowice	2014-08-27	2014-08-27	494,70
Eustachy	Bydgoski	Olsztyn	2014-08-30	2014-09-02	852,80
Olivia	Gabor	Katowice	2014-08-30	2014-08-31	693,70
Jerzy	Granica	Siedlce	2014-08-30	2014-09-01	434,40
Kornel	Henrykowski	Kielce	2014-08-30	2014-08-31	485,70
Zuzanna	Piotrkowska	Malbork	2014-08-30	2014-08-31	891,00
Karol	Witkiewicz	Krakow	2014-08-30	2014-09-03	1321,50
Katarzyna	Piotrowska	Radom	2014-09-03	2014-09-06	550,50
Sebastian	Argonski	Lublin	2014-09-04	2014-09-05	439,70
Karolina	Arska	Zgierz	2014-09-04	2014-09-07	569,50
Dominika	Bodera	Radom	2014-09-04	2014-09-07	550,50
Zofia	Budzianowska	Lublin	2014-09-04	2014-09-05	439,70
Patrycja	Czarnoleska	Lublin	2014-09-04	2014-09-04	290,70
Edwina	Elawa	Bydgoszcz	2014-09-04	2014-09-08	1077,40
Kornel	Henrykowski	Radom	2014-09-04	2014-09-06	426,50
Andrzej	Klajn	Mielec	2014-09-04	2014-09-05	570,00
Justyna	Krynicka	Lublin	2014-09-04	2014-09-04	290,70
Bogumiˆ	Lubelski	Bydgoszcz	2014-09-04	2014-09-05	654,40
Ewelia	Nyska	Kielce	2014-09-04	2014-09-08	1019,70
Malwina	Papkin	Siedlce	2014-09-04	2014-09-07	573,40
January	Pluta	Krakow	2014-09-04	2014-09-07	1116,50
Ewelia	Prus	Siedlce	2014-09-04	2014-09-06	434,40
Jan	Rzymski	Kutno	2014-09-04	2014-09-05	407,80
Dorota	Sosnowiecka	Kielce	2014-09-04	2014-09-07	841,70
Paulina	Watrach	Zgierz	2014-09-04	2014-09-04	212,50
Piotr	Bojarun	Lublin	2014-09-05	2014-09-07	588,70
Jerzy	Granica	Krakow	2014-09-05	2014-09-05	501,50
Marek	Holski	Radom	2014-09-05	2014-09-06	302,50
Anna	Kaliska	Mielec	2014-09-05	2014-09-05	442,00
Zuzanna	Kowalska	Bydgoszcz	2014-09-05	2014-09-08	936,40
Ewa	Kwiska	Bydgoszcz	2014-09-05	2014-09-05	513,40
Michalina	Lamda	Siedlce	2014-09-05	2014-09-06	295,40
Bogumiˆ	Lubelski	Zgierz	2014-09-05	2014-09-09	688,50
Zofia	Maselska	Krakow	2014-09-05	2014-09-08	1116,50
Zofia	Seredycka	Radom	2014-09-05	2014-09-07	426,50
Rozalia	Siedlecka	Mielec	2014-09-05	2014-09-07	698,00
Anna	Sobecka	Zgierz	2014-09-05	2014-09-06	331,50
Karol	Witkiewicz	Kutno	2014-09-05	2014-09-07	536,80
Adam	Wradoch	Katowice	2014-09-05	2014-09-06	693,70
Zofia	Budzianowska	Krakow	2014-09-07	2014-09-07	501,50
Paulina	Basala	Bydgoszcz	2014-09-08	2014-09-08	513,40
Patrycja	Czarnoleska	Mielec	2014-09-08	2014-09-08	442,00
Justyna	Krynicka	Kutno	2014-09-08	2014-09-08	278,80
Paulina	Watrach	Lublin	2014-09-08	2014-09-08	290,70
Ewa	Fidyk	Kutno	2014-09-11	2014-09-14	665,80
Anna	Kaliska	Malbork	2014-09-11	2014-09-14	1313,00
Katarzyna	Piotrowska	Malbork	2014-09-11	2014-09-12	891,00
Rozalia	Siedlecka	Olsztyn	2014-09-11	2014-09-13	689,80
Dorota	Sosnowiecka	Olsztyn	2014-09-11	2014-09-12	526,80
Amelia	Wojtecka	Siedlce	2014-09-11	2014-09-14	573,40
Karolina	Arska	Kutno	2014-09-15	2014-09-15	278,80
Paulina	Watrach	Krakow	2014-09-15	2014-09-16	706,50
Patrycja	Andrycz	Lublin	2014-09-16	2014-09-19	737,70
Patrycja	Andrycz	Mielec	2014-09-16	2014-09-18	698,00
Sebastian	Argonski	Krakow	2014-09-16	2014-09-17	706,50
Karolina	Bizuta	Kutno	2014-09-16	2014-09-18	536,80
Dominika	Bodera	Siedlce	2014-09-16	2014-09-20	712,40
Amelia	Calika	Bydgoszcz	2014-09-16	2014-09-19	936,40
Amelia	Calika	Malbork	2014-09-16	2014-09-20	1524,00
Patrycja	Czarnoleska	Bydgoszcz	2014-09-16	2014-09-18	795,40
Olivia	Gabor	Krakow	2014-09-16	2014-09-19	1116,50
Anna	Kaliska	Katowice	2014-09-16	2014-09-17	693,70
Andrzej	Klajn	Katowice	2014-09-16	2014-09-18	892,70
Andrzej	Kolarski	Krakow	2014-09-16	2014-09-16	501,50
Zofia	Maselska	Mielec	2014-09-16	2014-09-17	570,00
Jerzy	Misiek	Kutno	2014-09-16	2014-09-19	665,80
Malwina	Papkin	Zgierz	2014-09-16	2014-09-17	331,50
Karolina	Podkalicka	Zgierz	2014-09-16	2014-09-19	569,50
Piotr	Roman	Lublin	2014-09-16	2014-09-20	886,70
Jan	Rzymski	Malbork	2014-09-16	2014-09-18	1102,00
Rozalia	Siedlecka	Katowice	2014-09-16	2014-09-18	892,70
Karolina	Bizuta	Lublin	2014-09-17	2014-09-20	737,70
Adam	Falski	Zgierz	2014-09-17	2014-09-18	331,50
Ewa	Fidyk	Mielec	2014-09-17	2014-09-18	570,00
Olivia	Gabor	Katowice	2014-09-17	2014-09-20	1091,70
Kornel	Henrykowski	Kielce	2014-09-17	2014-09-18	485,70
Ewa	Kwiska	Siedlce	2014-09-17	2014-09-21	712,40
Michalina	Lamda	Mielec	2014-09-17	2014-09-20	826,00
Wojciech	Mazowiecki	Krakow	2014-09-17	2014-09-18	706,50
Teresa	Moskiewska	Radom	2014-09-17	2014-09-20	550,50
Malwina	Papkin	Olsztyn	2014-09-17	2014-09-18	526,80
Grzegorz	Podolski	Zgierz	2014-09-17	2014-09-20	569,50
Ewelia	Prus	Olsztyn	2014-09-17	2014-09-21	1015,80
Tomasz	Rzepka	Malbork	2014-09-17	2014-09-19	1102,00
Marek	Trzeski	Mielec	2014-09-17	2014-09-20	826,00
Kamil	Zabrzeski	Siedlce	2014-09-17	2014-09-19	434,40
Andrzej	Kolarski	Siedlce	2014-09-18	2014-09-20	434,40
Dorota	Morska	Malbork	2014-09-19	2014-09-19	680,00
Kornel	Henrykowski	Krakow	2014-09-20	2014-09-20	501,50
Piotr	Armowicz	Kutno	2014-09-22	2014-09-22	278,80
Patrycja	Andrycz	Kalisz	2014-09-23	2014-09-27	1078,00
Zofia	Budzianowska	Lublin	2014-09-23	2014-09-27	886,70
Lidia	Opolska	Bydgoszcz	2014-09-23	2014-09-23	513,40
Kazimiera	Parczewska	Krakow	2014-09-23	2014-09-25	911,50
Justyna	Tracz	Bydgoszcz	2014-09-23	2014-09-26	936,40
Kamil	Zabrzeski	Krakow	2014-09-23	2014-09-23	501,50
Piotr	Roman	Malbork	2014-09-24	2014-09-26	1102,00
Lidia	Opolska	Lublin	2014-09-26	2014-09-26	290,70
Bonifacy	Barczewski	Radom	2014-09-28	2014-09-28	178,50
Karolina	Bizuta	Malbork	2014-09-28	2014-09-30	1102,00
Amelia	Calika	Lublin	2014-09-28	2014-10-02	886,70
Wiktor	Czekan	Krakow	2014-09-28	2014-10-02	1321,50
Kornel	Czerski	Malbork	2014-09-28	2014-09-29	891,00
Edwina	Elawa	Zgierz	2014-09-28	2014-09-29	331,50
Kornel	Henrykowski	Zgierz	2014-09-28	2014-09-30	450,50
Zuzanna	Kowalska	Kutno	2014-09-28	2014-09-29	407,80
Justyna	Tracz	Kielce	2014-09-28	2014-10-01	841,70
Paulina	Watrach	Zgierz	2014-09-28	2014-09-30	450,50
Patrycja	Andrycz	Lublin	2014-09-29	2014-10-03	886,70
Piotr	Armowicz	Mielec	2014-09-29	2014-10-01	698,00
Karolina	Arska	Bydgoszcz	2014-09-29	2014-10-01	795,40
Patrycja	Czarnoleska	Siedlce	2014-09-29	2014-10-03	712,40
Jerzy	Dusznicki	Kielce	2014-09-29	2014-09-30	485,70
Amadeusz	Helski	Olsztyn	2014-09-29	2014-10-01	689,80
Natalia	Idar	Kutno	2014-09-29	2014-10-01	536,80
Kacper	Krajewski	Olsztyn	2014-09-29	2014-10-01	689,80
Justyna	Laska	Kutno	2014-09-29	2014-09-29	278,80
Adam	Markowski	Lublin	2014-09-29	2014-09-30	439,70
Dorota	Morska	Krakow	2014-09-29	2014-09-30	706,50
Marta	Nowowiejska	Lublin	2014-09-29	2014-10-01	588,70
Daria	Paryska	Olsztyn	2014-09-29	2014-10-03	1015,80
Zuzanna	Piotrkowska	Mielec	2014-09-29	2014-10-01	698,00
Grzegorz	Podolski	Olsztyn	2014-09-29	2014-10-02	852,80
Kamil	Pomorski	Zgierz	2014-09-29	2014-10-02	569,50
Piotr	Rajczakowski	Mielec	2014-09-29	2014-09-30	570,00
Jan	Rzymski	Kielce	2014-09-29	2014-10-03	1019,70
Wiktor	Wroblewski	Kalisz	2014-09-29	2014-09-29	442,00
Olivia	Gabor	Zgierz	2014-09-30	2014-09-30	212,50
Kornel	Czerski	Mielec	2014-10-01	2014-10-01	442,00
Edwina	Elawa	Kalisz	2014-10-01	2014-10-01	442,00
Bogumiˆ	Lubelski	Kielce	2014-10-02	2014-10-02	307,70
Tomasz	Rzepka	Lublin	2014-10-02	2014-10-03	439,70
Kornel	Henrykowski	Siedlce	2014-10-03	2014-10-03	156,40
Justyna	Laska	Lublin	2014-10-03	2014-10-03	290,70
Wiktor	Wroblewski	Lublin	2014-10-03	2014-10-03	290,70
Malwina	Papkin	Zgierz	2014-10-05	2014-10-06	331,50
Rozalia	Siedlecka	Malbork	2014-10-05	2014-10-06	891,00
Anna	Sobecka	Kielce	2014-10-05	2014-10-09	1019,70
Sebastian	Halik	Mielec	2014-10-06	2014-10-06	442,00
Zyta	Mazurkiewicz	Kielce	2014-10-06	2014-10-07	485,70
Ewelia	Nyska	Kalisz	2014-10-06	2014-10-13	1555,00
Kazimiera	Parczewska	Kutno	2014-10-06	2014-10-08	536,80
Amelia	Wojtecka	Bydgoszcz	2014-10-06	2014-10-07	654,40
Kornel	Czerski	Katowice	2014-10-10	2014-10-12	892,70
Edwina	Elawa	Lublin	2014-10-10	2014-10-13	737,70
Olivia	Gabor	Mielec	2014-10-10	2014-10-10	442,00
Natalia	Idar	Kalisz	2014-10-10	2014-10-14	1078,00
Marcin	Jarskarski	Krakow	2014-10-10	2014-10-10	501,50
Anna	Kaliska	Siedlce	2014-10-10	2014-10-10	156,40
Andrzej	Klajn	Krakow	2014-10-10	2014-10-10	501,50
Andrzej	Kolarski	Siedlce	2014-10-10	2014-10-13	573,40
Wojciech	Magierowcz	Katowice	2014-10-10	2014-10-14	1290,70
Zofia	Maselska	Krakow	2014-10-10	2014-10-11	706,50
Paulina	Maskor	Mielec	2014-10-10	2014-10-13	826,00
Dorota	Morska	Kalisz	2014-10-10	2014-10-11	601,00
Piotr	Roman	Kutno	2014-10-10	2014-10-14	794,80
Marek	Trzeski	Zgierz	2014-10-10	2014-10-11	331,50
Paulina	Watrach	Krakow	2014-10-10	2014-10-11	706,50
Andrzej	Barcz	Radom	2014-10-11	2014-10-15	674,50
Zofia	Budzianowska	Olsztyn	2014-10-11	2014-10-13	689,80
Wiktor	Czekan	Zgierz	2014-10-11	2014-10-12	331,50
Justyna	Krynicka	Radom	2014-10-11	2014-10-13	426,50
Ewa	Kwiska	Krakow	2014-10-11	2014-10-14	1116,50
Rozalia	Siedlecka	Bydgoszcz	2014-10-11	2014-10-15	1077,40
Piotr	Sworacz	Kalisz	2014-10-11	2014-10-13	760,00
Justyna	Tracz	Lublin	2014-10-11	2014-10-14	737,70
Justyna	Tracz	Mielec	2014-10-11	2014-10-12	570,00
Paulina	Watrach	Kalisz	2014-10-11	2014-10-14	919,00
Adam	Wradoch	Kalisz	2014-10-11	2014-10-15	1078,00
Karolina	Bizuta	Kielce	2014-10-13	2014-10-13	307,70
Marcin	Jarskarski	Bydgoszcz	2014-10-13	2014-10-13	513,40
Andrzej	Klajn	Katowice	2014-10-13	2014-10-13	494,70
Tomasz	Rzepka	Bydgoszcz	2014-10-13	2014-10-13	513,40
Marek	Trzeski	Katowice	2014-10-13	2014-10-13	494,70
Olivia	Gabor	Krakow	2014-10-14	2014-10-14	501,50
Dorota	Morska	Siedlce	2014-10-15	2014-10-15	156,40
Marek	Trzeski	Zgierz	2014-10-15	2014-10-15	212,50
Tomasz	Rzepka	Lublin	2014-10-16	2014-10-16	290,70
Patrycja	Czarnoleska	Lublin	2014-10-17	2014-10-18	439,70
Andrzej	Klajn	Kalisz	2014-10-17	2014-10-20	919,00
Justyna	Laska	Lublin	2014-10-17	2014-10-20	737,70
Anna	Sobecka	Zgierz	2014-10-17	2014-10-18	331,50
Dorota	Sosnowiecka	Malbork	2014-10-17	2014-10-18	891,00
Justyna	Tracz	Kutno	2014-10-17	2014-10-20	665,80
Dorota	Morska	Zgierz	2014-10-18	2014-10-18	212,50
Dominika	Bodera	Kalisz	2014-10-22	2014-10-25	919,00
Zofia	Budzianowska	Katowice	2014-10-22	2014-10-23	693,70
Paulina	Chorzowska	Kielce	2014-10-22	2014-10-22	307,70
Patrycja	Czarnoleska	Kielce	2014-10-22	2014-10-23	485,70
Wiktor	Czekan	Lublin	2014-10-22	2014-10-25	737,70
Adam	Falski	Malbork	2014-10-22	2014-10-23	891,00
Olivia	Gabor	Olsztyn	2014-10-22	2014-10-24	689,80
Kornel	Henrykowski	Katowice	2014-10-22	2014-10-22	494,70
Natalia	Idar	Mielec	2014-10-22	2014-10-22	442,00
Justyna	Kolska	Kalisz	2014-10-22	2014-10-25	919,00
Wojciech	Krokus	Kalisz	2014-10-22	2014-10-26	1078,00
Paulina	Maskor	Kutno	2014-10-22	2014-10-22	278,80
Dorota	Morska	Kutno	2014-10-22	2014-10-24	536,80
Maria	Ozimek	Zgierz	2014-10-22	2014-10-25	569,50
Narcyz	Polanicki	Kalisz	2014-10-22	2014-10-24	760,00
Jan	Suwski	Radom	2014-10-22	2014-10-26	674,50
Justyna	Tracz	Kutno	2014-10-22	2014-10-22	278,80
Amelia	Wojtecka	Zgierz	2014-10-22	2014-10-23	331,50
Kamil	Zabrzeski	Olsztyn	2014-10-22	2014-10-26	1015,80
Patrycja	Andrycz	Katowice	2014-10-23	2014-10-25	892,70
Sebastian	Argonski	Kalisz	2014-10-23	2014-10-26	919,00
Adam	Falski	Mielec	2014-10-23	2014-10-24	570,00
Jerzy	Granica	Siedlce	2014-10-23	2014-10-24	295,40
Sebastian	Halik	Malbork	2014-10-23	2014-10-24	891,00
Marcin	Jarskarski	Mielec	2014-10-23	2014-10-24	570,00
Anna	Kaliska	Lublin	2014-10-23	2014-10-23	290,70
Wojciech	Krokus	Krakow	2014-10-23	2014-10-24	706,50
Malwina	Papkin	Krakow	2014-10-23	2014-10-25	911,50
Kazimiera	Parczewska	Kielce	2014-10-23	2014-10-26	841,70
Gustaw	Poznanski	Malbork	2014-10-23	2014-10-25	1102,00
Dorota	Sosnowiecka	Malbork	2014-10-23	2014-10-23	680,00
Natalia	Idar	Kielce	2014-10-24	2014-10-24	307,70
Justyna	Tracz	Lublin	2014-10-24	2014-10-24	290,70
Kornel	Henrykowski	Kielce	2014-10-25	2014-10-25	307,70
Paulina	Maskor	Kutno	2014-10-25	2014-10-25	278,80
Dorota	Sosnowiecka	Mielec	2014-10-25	2014-10-26	570,00
Sebastian	Halik	Bydgoszcz	2014-10-26	2014-10-26	513,40
Natalia	Idar	Kielce	2014-10-27	2014-10-27	307,70
Paulina	Basala	Radom	2014-10-28	2014-10-30	426,50
Kornel	Czerski	Kutno	2014-10-29	2014-10-30	407,80
Sebastian	Halik	Bydgoszcz	2014-10-29	2014-10-29	513,40
Grzegorz	Podolski	Siedlce	2014-10-29	2014-10-30	295,40
Tomasz	Rzepka	Lublin	2014-10-29	2014-10-30	439,70
Jan	Rzymski	Lublin	2014-10-29	2014-11-02	886,70
Dorota	Sosnowiecka	Mielec	2014-10-29	2014-10-31	698,00
Kamil	Zabrzeski	Kielce	2014-10-29	2014-10-29	307,70
Zofia	Budzianowska	Siedlce	2014-11-03	2014-11-04	295,40
Paulina	Chorzowska	Krakow	2014-11-03	2014-11-03	501,50
Wiktor	Czekan	Kutno	2014-11-03	2014-11-06	665,80
Anna	Kaliska	Olsztyn	2014-11-03	2014-11-07	1015,80
Justyna	Kolska	Lublin	2014-11-03	2014-11-04	439,70
Justyna	Krynicka	Olsztyn	2014-11-03	2014-11-03	363,80
Michalina	Lamda	Kalisz	2014-11-03	2014-11-04	601,00
Bogumiˆ	Lubelski	Kalisz	2014-11-03	2014-11-04	601,00
Albert	Marakasz	Katowice	2014-11-03	2014-11-03	494,70
Paulina	Maskor	Lublin	2014-11-03	2014-11-07	886,70
Teresa	Moskiewska	Katowice	2014-11-03	2014-11-03	494,70
Ewelia	Nyska	Kutno	2014-11-03	2014-11-03	278,80
Maria	Ozimek	Mielec	2014-11-03	2014-11-04	570,00
Daria	Paryska	Lublin	2014-11-03	2014-11-04	439,70
Kamil	Pomorski	Zgierz	2014-11-03	2014-11-04	331,50
Gustaw	Poznanski	Siedlce	2014-11-03	2014-11-07	712,40
Tomasz	Rzepka	Siedlce	2014-11-03	2014-11-04	295,40
Karol	Witkiewicz	Siedlce	2014-11-03	2014-11-07	712,40
Ewelina	Adamska	Katowice	2014-11-04	2014-11-06	892,70
Karolina	Arska	Radom	2014-11-04	2014-11-06	426,50
Bonifacy	Barczewski	Malbork	2014-11-04	2014-11-06	1102,00
Patrycja	Czarnoleska	Krakow	2014-11-04	2014-11-06	911,50
Marzena	Gras	Olsztyn	2014-11-04	2014-11-05	526,80
Andrzej	Klajn	Radom	2014-11-04	2014-11-08	674,50
Wojciech	Krokus	Olsztyn	2014-11-04	2014-11-07	852,80
Jerzy	Misiek	Katowice	2014-11-04	2014-11-08	1290,70
Dorota	Morska	Krakow	2014-11-04	2014-11-05	706,50
Irma	Opoczna	Krakow	2014-11-04	2014-11-05	706,50
Zuzanna	Piotrkowska	Krakow	2014-11-04	2014-11-04	501,50
Grzegorz	Podolski	Kielce	2014-11-04	2014-11-05	485,70
Sebastian	Puchacz	Olsztyn	2014-11-04	2014-11-05	526,80
Piotr	Sworacz	Kielce	2014-11-04	2014-11-07	841,70
Daria	Paryska	Kalisz	2014-11-06	2014-11-06	442,00
Zuzanna	Piotrkowska	Katowice	2014-11-06	2014-11-08	892,70
Justyna	Krynicka	Zgierz	2014-11-07	2014-11-08	331,50
Albert	Marakasz	Kielce	2014-11-07	2014-11-07	307,70
Teresa	Moskiewska	Kutno	2014-11-07	2014-11-07	278,80
Ewelia	Nyska	Mielec	2014-11-07	2014-11-07	442,00
Tomasz	Rzepka	Kalisz	2014-11-07	2014-11-07	442,00
Dominika	Bodera	Malbork	2014-11-10	2014-11-13	1313,00
Zuzanna	Piotrkowska	Kutno	2014-11-13	2014-11-14	407,80
Gustaw	Poznanski	Lublin	2014-11-14	2014-11-14	290,70
Janina	Bolanowska	Malbork	2014-11-15	2014-11-15	680,00
Edwina	Elawa	Malbork	2014-11-15	2014-11-19	1524,00
Karolina	Janes	Radom	2014-11-15	2014-11-15	178,50
Zuzanna	Kowalska	Mielec	2014-11-15	2014-11-17	698,00
Justyna	Krynicka	Kalisz	2014-11-15	2014-11-15	442,00
Wojciech	Magierowcz	Zgierz	2014-11-15	2014-11-19	688,50
Piotr	Malski	Kielce	2014-11-15	2014-11-18	841,70
Zofia	Maselska	Mielec	2014-11-15	2014-11-15	442,00
Paulina	Maskor	Krakow	2014-11-15	2014-11-18	1116,50
Kazimiera	Parczewska	Mielec	2014-11-15	2014-11-15	442,00
Daria	Paryska	Olsztyn	2014-11-15	2014-11-16	526,80
January	Pluta	Bydgoszcz	2014-11-15	2014-11-18	936,40
Grzegorz	Podolski	Kutno	2014-11-15	2014-11-16	407,80
Sebastian	Puchacz	Bydgoszcz	2014-11-15	2014-11-19	1077,40
Piotr	Sworacz	Kutno	2014-11-15	2014-11-16	407,80
Dominika	Bodera	Zgierz	2014-11-16	2014-11-17	331,50
Wiktor	Budzis	Kutno	2014-11-16	2014-11-17	407,80
Paulina	Chorzowska	Kielce	2014-11-16	2014-11-17	485,70
Patrycja	Czarnoleska	Katowice	2014-11-16	2014-11-20	1290,70
Justyna	Kolska	Zgierz	2014-11-16	2014-11-18	450,50
Justyna	Laska	Krakow	2014-11-16	2014-11-18	911,50
Irma	Opoczna	Kalisz	2014-11-16	2014-11-19	919,00
Krystyna	Pleszewska	Bydgoszcz	2014-11-16	2014-11-17	654,40
Justyna	Tracz	Olsztyn	2014-11-16	2014-11-17	526,80
