Id_studenta;Imie;Nazwisko;Uczelnia;Miejsce_zam;Rok_studiow;Dochod_na_osobe
345;Oskar;Szanca;Politechnika Krolewska;Raciborz;I;2257
346;Jakub;Kucharski;Politechnika Krolewska;Szamotuly;III;2144
347;Jan;Krzyzewski;Uniwersytet Rolniczy;Ogrodzieniec;II;1379
348;Jan;Dziekan;Politechnika Krolewska;Siemianowice Slaskie;I;2815
349;Zofia;Kajzer;Uniwersytet Rolniczy;Debowiec;II;905
350;Iwona;Pawlowska;Uniwersytet Ekonomiczny;Lublin;III;2942
351;Oktawian;Kadej;Akademia Sztuk Pieknych;Ogrodniki;I;2668
352;Jadwiga;Beben;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;V;2998
353;Katarzyna;Czader;Politechnika Krolewska;Nowy Sacz;I;353
354;Zuzanna;Rutkowska;Politechnika Informatyczno-Elektroniczna;Rybnik;I;2320
355;Franciszek;Mikulski;Politechnika Informatyczno-Elektroniczna;Wojkowice;II;598
356;Aleksander;Chinski;Politechnika Informatyczno-Elektroniczna;Wroclaw;I;3251
357;Bartlomiej;Kardys;Uniwersytet Krolewski;Izbica Kujawska;I;1646
358;Katarzyna;Pakulska;Uniwersytet Krolewski;Jaworzynka;I;767
359;Jakub;Piotrowski;Politechnika Informatyczno-Elektroniczna;Tychy;III;513
360;Irena;Fudecka;Politechnika Informatyczno-Elektroniczna;Pilica;I;3215
361;Krzysztof;Lis;Politechnika Informatyczno-Elektroniczna;Gliwice;I;2032
362;Grazyna;Chojacka;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;I;2543
363;Kamil;Tokarz;Uniwersytet Rolniczy;Szczecinek;V;880
364;Agnieszka;Nawrot;Politechnika Informatyczno-Elektroniczna;Przemysl;I;1142
365;Ewa;Chiluta;Politechnika Krolewska;Nowy Targ;I;1924
366;Joanna;Chodyra;Politechnika Krolewska;Koniakow;I;3225
367;Jacek;Winogrodzki;Politechnika Informatyczno-Elektroniczna;Ogrodniki;I;1004
368;Karol;Anarchista;Politechnika Informatyczno-Elektroniczna;Dabrowa Gornicza;II;2716
369;Walery;Latka;Politechnika Informatyczno-Elektroniczna;Plock;V;1126
370;Jaroslaw;Sierpien;Politechnika Informatyczno-Elektroniczna;Tarnowskie Gory;III;831
371;Kaja;Karnawal;Politechnika Informatyczno-Elektroniczna;Klomnice;IV;2377
372;Andrzej;Smietanka;Uniwersytet Krolewski;Szczekociny;I;1447
373;Eustachy;Banaszek;Uniwersytet Krolewski;Siemianowice Slaskie;I;2407
374;Barbara;Marczak;Politechnika Informatyczno-Elektroniczna;Sosnowiec;I;1566
375;Jaroslaw;Kata;Uniwersytet Ekonomiczny;Lublin;I;2437
376;Urszula;Wawrzynczyk;Politechnika Informatyczno-Elektroniczna;Katowice;II;856
377;Anita;Wiwatowicz;Politechnika Informatyczno-Elektroniczna;Rabka;I;399
378;Weronika;Zawadzka;Uniwersytet Krolewski;Ciechanow;I;1859
379;Wioletta;Kucharska;Politechnika Krolewska;Baborow;II;1209
380;Piotr;Banalow;Uniwersytet Sportu i Turystyki;Zamosc;I;1025
381;Anna;Kaczmarek;Politechnika Informatyczno-Elektroniczna;Terespol;III;2076
382;Ewelina;Ewertowska;Politechnika Informatyczno-Elektroniczna;Pyrzowice;I;2601
383;Slawomira;Czerwiec;Uniwersytet Krolewski;Chelm;V;2207
384;Ewa;Skrzeliczka;Uniwersytet Sportu i Turystyki;Sosnowiec;I;2312
385;Martyna;Piotrkowska;Uniwersytet Krolewski;Myszkow;I;1137
386;Tomasz;Nawrot;Politechnika Informatyczno-Elektroniczna;Leszno;II;383
387;Kamil;Kildarewicz;Uniwersytet Krolewski;Tomaszow Lubelski;I;1834
388;Wlodzimierz;Komik;Politechnika Informatyczno-Elektroniczna;Radom;III;1032
389;Bartlomiej;Wrzesien;Uniwersytet Krolewski;Swietochlowice;IV;2639
390;Emilia;Katanak;Politechnika Informatyczno-Elektroniczna;Gliwice;I;1422
391;Bartosz;Pawlowski;Politechnika Informatyczno-Elektroniczna;Zambrow;I;1150
392;Krzysztof;Nisiewicz;Uniwersytet Krolewski;Oborniki;I;1280
393;Barbara;Mianowska;Politechnika Informatyczno-Elektroniczna;Sosnowiec;I;486
394;Adam;Loziczonek;Politechnika Informatyczno-Elektroniczna;Kuznia Raciborska;II;2100
395;Karol;Antonowicz;Politechnika Informatyczno-Elektroniczna;Siedlce;I;654
396;Anna;Klemczak;Politechnika Informatyczno-Elektroniczna;Rabka;I;1814
397;Mieczyslawa;Szymczyk;Politechnika Informatyczno-Elektroniczna;Tychy;I;1136
398;Karol;Zalewski;Politechnika Informatyczno-Elektroniczna;Leszno;I;2978
399;Seweryna;Kotek;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;949
400;Jowita;Adamska;Politechnika Informatyczno-Elektroniczna;Elblag;IV;1771
401;Tomasz;Niczyj;Politechnika Krolewska;Naleczow;V;3295
402;Maja;Mazurkiewicz;Politechnika Krolewska;Istebna;I;511
403;Alicja;Fedoruk;Politechnika Krolewska;Sanok;I;2482
404;Jan;Ciebiera;Politechnika Informatyczno-Elektroniczna;Katowice;I;2898
405;Urszula;Sielecka;Uniwersytet Krolewski;Bozewo;II;435
406;Ewelina;Katowicka;Politechnika Informatyczno-Elektroniczna;Chyzne;I;2357
407;Kinga;Wronska;Politechnika Informatyczno-Elektroniczna;Lubaczow;II;3271
408;Ewa;Gruszczynska;Wyzsza Szko³a Techniczna;Olkusz;I;3337
409;Jan;Urbanski;Wyzsza Szko³a Techniczna;Czestochowa;I;2124
410;Leslaw;Pawlica;Politechnika Krolewska;Szczekociny;I;3258
411;Barbara;Przybylek;Uniwersytet Sportu i Turystyki;Izbica Kujawska;III;2187
412;Roza;Szklarczyk;Politechnika Informatyczno-Elektroniczna;Pyrzyce;II;2605
413;Anastazja;Gruzin;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;V;983
414;Dawid;Trzebiatowski;Politechnika Informatyczno-Elektroniczna;Przasnysz;I;2037
415;Roman;Hajtowicz;Uniwersytet Krolewski;Myszkow;III;751
416;Ewelia;Kolanko;Uniwersytet Krolewski;Dabrowa Gornicza;I;3336
417;Mateusz;Majewski;Politechnika Informatyczno-Elektroniczna;Gliwice;II;2270
418;Jaroslaw;Krema;Politechnika Informatyczno-Elektroniczna;Chorzow;V;1777
419;Lucyna;Arabas;Politechnika Krolewska;Zamosc;I;1000
420;Mateusz;Orlicki;Politechnika Informatyczno-Elektroniczna;Kedzierzyn-Kozle;I;2467
421;Sebastian;Alot;Politechnika Informatyczno-Elektroniczna;Ostroleka;II;634
422;Jadwiga;Bober;Uniwersytet Sportu i Turystyki;Naleczow;IV;3025
423;Gracja;Kozlowska;Uniwersytet Krolewski;Limanowa;I;3330
424;Tomasz;Bronikowski;Politechnika Informatyczno-Elektroniczna;Konin;I;1304
425;Andrzej;Latacki;Uniwersytet Krolewski;Pilica;II;1518
426;Kamil;Babula;Politechnika Informatyczno-Elektroniczna;Rybnik;I;1058
427;Czeslaw;Augustyneczek;Politechnika Krolewska;Tychy;I;524
428;Anna;Hebda;Politechnika Informatyczno-Elektroniczna;Wroclaw;V;1070
429;Bartosz;Bonkowski;Politechnika Informatyczno-Elektroniczna;Swietochlowice;I;983
430;Jozefa;Wysocka;Politechnika Informatyczno-Elektroniczna;Wroclaw;II;2497
431;Justyna;Firlej;Uniwersytet Rolniczy;Prudnik;I;1919
432;Jadwiga;Wawer;Uniwersytet Krolewski;Sosnicowice;II;2672
433;Michal;Klimisz;Politechnika Informatyczno-Elektroniczna;Tarnow;III;3092
434;Agnieszka;Bartkowiak;Politechnika Informatyczno-Elektroniczna;Zawiercie;I;3034
435;Ryszard;Siennicki;Uniwersytet Ekonomiczny;Wojkowice;II;2978
436;Marta;Gilowska;Politechnika Informatyczno-Elektroniczna;Jaslo;I;1572
437;Honorata;Caban;Politechnika Informatyczno-Elektroniczna;Kogutek;II;689
438;Franciszek;Szybinski;Politechnika Krolewska;Lublin;V;1776
439;Emila;Nikiel;Uniwersytet Krolewski;Rajcza;I;1849
440;Jan;Jasinski;Politechnika Krolewska;Swiecko;I;962
441;Halina;Lakomska;Uniwersytet Krolewski;Brzesko;I;863
442;Teofil;Wina;Politechnika Krolewska;Rzeszow;IV;1963
443;Teresa;Krzesaj;Politechnika Informatyczno-Elektroniczna;Siemianowice Slaskie;II;2126
444;Karol;Mroczek;Politechnika Informatyczno-Elektroniczna;Jaworzynka;V;2947
445;Jagna;Urban;Politechnika Krolewska;Olsztyn;I;1098
446;Szymon;Maron;Politechnika Krolewska;Mikolow;IV;2372
447;Lucjusz;Tokarczyk;Politechnika Informatyczno-Elektroniczna;Mikolajki;II;985
448;Krzysztof;Badura;Uniwersytet Ekonomiczny;Mikolow;I;637
449;Konstanty;Banasikowski;Politechnika Informatyczno-Elektroniczna;Alwernia;I;2568
450;Krzysztof;Lipinski;Uniwersytet Muzyczny;Naleczow;I;2635
451;Anna;Dworecka;Politechnika Krolewska;Walbrzych;I;2106
452;Kinga;Celeborska;Politechnika Informatyczno-Elektroniczna;Gostyn;I;940
453;Mateusz;Bednarek;Politechnika Informatyczno-Elektroniczna;Legionowo;I;507
454;Stanislaw;Anczewski;Politechnika Informatyczno-Elektroniczna;Swietochlowice;II;2305
455;Szymon;Wawron;Uniwersytet Krolewski;Katowice;II;3312
456;Danuta;Banaszczykiewicz;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;I;2423
457;Tymon;Abacki;Uniwersytet Ekonomiczny;Kedzierzyn-Kozle;III;963
458;Ewelina;Blada;Politechnika Informatyczno-Elektroniczna;Terespol;IV;1961
459;Wieslawa;Bedynska;Uniwersytet Krolewski;Koniakow;II;593
460;Bartosz;Dudek;Politechnika Informatyczno-Elektroniczna;Swiecko;IV;2948
461;Tomasz;Kaczmarek;Uniwersytet Ekonomiczny;Wodzislaw Slaski;I;1140
462;Aleksander;Adamczyk;Uniwersytet Rolniczy;Mirow;V;1260
463;Kinga;Kawka;Uniwersytet Krolewski;Olkusz;I;2512
464;Morfeusz;Grodecki;Akademia Sztuk Pieknych;Chelm;I;1713
465;Jerzy;Bodnarczyk;Politechnika Informatyczno-Elektroniczna;Piechowice;I;3260
466;Paulina;Dykiel;Politechnika Informatyczno-Elektroniczna;Jastrzebie-Zdroj;I;1995
467;Adam;Bednarczyk;Politechnika Informatyczno-Elektroniczna;Krapkowice;I;1303
468;Barbara;Olszewska;Uniwersytet Krolewski;Baborow;IV;1528
469;Wieslawa;Barcisz;Politechnika Krolewska;Oswiecim;II;1278
470;Pawel;Kowal;Uniwersytet Krolewski;Wadowice;V;3125
471;Monika;Rybicka;Uniwersytet Ekonomiczny;Kedzierzyn-Kozle;I;1111
472;Adam;Grabczak;Uniwersytet Rolniczy;Limanowa;IV;1116
473;Jan;Kozak;Uniwersytet Pedagogiczny;Elk;III;3021
474;Wiera;Augustowska;Politechnika Informatyczno-Elektroniczna;Klomnice;II;872
475;Lew;Wiejski;Akademia Sztuk Pieknych;Katowice;I;1787
476;Boguslawa;Sobota;Politechnika Informatyczno-Elektroniczna;Siemianowice Slaskie;II;2866
477;Miroslaw;Chochowski;Akademia Sztuk Pieknych;Tarnobrzeg;I;2625
478;Halina;Kuchar;Politechnika Krolewska;Katowice;I;859
479;Zbigniew;Zajac;Uniwersytet Krolewski;Wadowice;V;1589
480;Edyta;Klan;Politechnika Krolewska;Sosnowiec;V;1683
481;Celina;Krotoszyn;Uniwersytet Krolewski;Bedzin;III;3139
482;Katarzyna;Skutnik;Politechnika Informatyczno-Elektroniczna;Siedlce;I;3124
483;Krzysztof;But;Politechnika Krolewska;Rybnik;IV;2273
484;Bartosz;Zalecki;Politechnika Informatyczno-Elektroniczna;Bytom;I;1127
485;Irena;Tarnowska;Uniwersytet Pedagogiczny;Suwalki;I;2158
486;Piotr;Murarz;Politechnika Krolewska;Nysa;III;2893
487;Justyna;Biegaj;Politechnika Krolewska;Swinoujscie;I;1770
488;Bohdan;Mrozowski;Politechnika Informatyczno-Elektroniczna;Piwniczna-Zdroj;I;2851
489;Karina;Kwiatkowska;Politechnika Informatyczno-Elektroniczna;Biala Podlaska;IV;2751
490;Katarzyna;Kruczek;Politechnika Informatyczno-Elektroniczna;Tomaszow Lubelski;I;2107
491;Anna;Barska;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;II;1047
492;Marek;Piec;Uniwersytet Krolewski;Kruszwica;V;3259
493;Marek;Grzeszczak;Uniwersytet Krolewski;Mikolow;I;508
494;Leslaw;Bak;Politechnika Krolewska;Ustron;I;2799
495;Franciszka;Czemisow;Politechnika Informatyczno-Elektroniczna;Gorki Male;II;456
496;Michal;Sawicki;Politechnika Informatyczno-Elektroniczna;Olkusz;II;451
497;Sabina;Balcerek;Uniwersytet Krolewski;Jaslo;II;1840
498;Aleksandra;Cichawacz;Politechnika Krolewska;Swieradow-Zdroj;I;3169
499;Kinga;Mlynarczyk;Uniwersytet Krolewski;Sosnowiec;II;2543
500;Witold;Kupis;Uniwersytet Krolewski;Slawkow;II;1760
501;Janusz;Bokowski;Uniwersytet Pedagogiczny;Bielsko - Biala;I;2891
502;Elzbieta;Jaworska;Akademia Sztuk Pieknych;Glucholazy;II;804
503;Marzena;Por;Uniwersytet Krolewski;Rajcza;II;2715
504;Beata;Wittek;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg;V;1008
505;Wojciech;Rydawski;Politechnika Krolewska;Walbrzych;II;2711
506;Nikodem;Dyzma;Politechnika Informatyczno-Elektroniczna;Rogoznik;II;3079
507;Wanda;Szalobryt;Politechnika Krolewska;Bielsko - Biala;II;701
508;Andrzej;Okon;Politechnika Krolewska;Szczyrk;III;1556
509;Anita;Chalbinska;Politechnika Informatyczno-Elektroniczna;Witonia;I;1772
510;Agnieszka;Badowska;Politechnika Krolewska;Nowy Targ;I;1372
511;Tomasz;Kajdasiewicz;Politechnika Informatyczno-Elektroniczna;Czestochowa;III;1486
512;Piotr;Januszewski;Politechnika Krolewska;Przemysl;I;1613
513;Edyta;Styczen;Uniwersytet Krolewski;Bydgoszcz;V;3105
514;Iwona;Andrzejewska;Uniwersytet Krolewski;Ruda Slaska;I;2241
515;Danuta;Kapusta;Politechnika Informatyczno-Elektroniczna;Myszkow;I;2708
516;Ruta;Sawa;Uniwersytet Krolewski;Myslowice;II;2726
517;Izabella;Cieslak;Uniwersytet Ekonomiczny;Suraz;I;1100
518;Tadeusz;Krason;Politechnika Informatyczno-Elektroniczna;Mlynarze;IV;1894
519;Marcin;Gorgon;Politechnika Krolewska;Pyrzowice;V;2681
520;Witold;Halama;Uniwersytet Krolewski;Gryfice;II;1557
521;Teresa;Gryglak;Politechnika Informatyczno-Elektroniczna;Limanowa;II;3117
522;Jolanta;Turlej;Politechnika Informatyczno-Elektroniczna;Elk;V;3344
523;Kamil;Gruca;Uniwersytet Krolewski;Karniewo;I;3300
524;Daniel;Filipek;Politechnika Informatyczno-Elektroniczna;Katowice;I;2302
525;Beata;Dabrowska;Politechnika Informatyczno-Elektroniczna;Katowice;II;2576
526;Krzysztof;Cebula;Uniwersytet Krolewski;Olkusz;I;3155
527;Anna;Horbacz;Politechnika Krolewska;Chorzow;I;1079
528;Krzysztof;Barski;Uniwersytet Krolewski;Ogrodzieniec;I;1047
529;Wanda;Pacula;Uniwersytet Rolniczy;Katowice;II;2350
530;Ewa;Barwicka;Uniwersytet Krolewski;Nowy Sacz;I;600
531;Katarzyna;Bartecka;Politechnika Krolewska;Chorzow;I;350
532;Natalia;Pypno;Politechnika Informatyczno-Elektroniczna;Radom;I;1139
533;Maciej;Knapik;Politechnika Informatyczno-Elektroniczna;Istebna;IV;1056
534;Katarzyna;Ochocka;Uniwersytet Krolewski;Siewierz;I;750
535;Agnieszka;Otwocka;Politechnika Informatyczno-Elektroniczna;Raciborz;I;3176
536;Bozena;Chmielewska;Politechnika Informatyczno-Elektroniczna;Istebna;II;1835
537;Maria;Krasiczynska;Uniwersytet Krolewski;Tarnobrzeg;I;1623
538;Katarzyna;Budziak;Uniwersytet Krolewski;Nowy Targ;II;1153
539;Adam;Gumowski;Politechnika Informatyczno-Elektroniczna;Zamosc;I;3059
540;Alina;Charemska;Politechnika Informatyczno-Elektroniczna;Myslowice;I;1847
541;Zbigniew;Jaworski;Uniwersytet Krolewski;Myslowice;III;3238
542;Marcin;Grabysz;Uniwersytet Sportu i Turystyki;Bielsko - Biala;I;2125
543;Jan;Chylak;Politechnika Informatyczno-Elektroniczna;Gliwice;I;1224
544;Grzegorz;Sokolowski;Politechnika Krolewska;Pulawy;III;606
545;Anna;Smela;Politechnika Informatyczno-Elektroniczna;Sosnicowice;I;1375
546;Maria;Kolka;Uniwersytet Rolniczy;Sosnicowice;II;790
547;Krzysztof;Groza;Politechnika Krolewska;Strzelce Opolskie;I;2014
548;Katarzyna;Friedek;Politechnika Krolewska;Wisla;I;898
549;Piotr;Szczerek;Uniwersytet Krolewski;Rajcza;III;2896
550;Edward;Bebanek;Uniwersytet Krolewski;Bielsko - Biala;I;1580
551;Grzegorz;Kinski;Politechnika Informatyczno-Elektroniczna;Myslowice;I;3000
552;Patryk;Brylok;Politechnika Informatyczno-Elektroniczna;Suwalki;I;3007
553;Ewa;Oszczudlowska;Uniwersytet Ekonomiczny;Przemysl;I;1141
554;Irma;Iwasiow;Politechnika Krolewska;Rogoznik;I;1201
555;Tomasz;Muc;Uniwersytet Rolniczy;Cieszyn;IV;1243
556;Piotr;Cholewa;Uniwersytet Pedagogiczny;Hrebenne;II;2318
557;Antoni;Chmielacz;Uniwersytet Rolniczy;Strzelce Opolskie;I;2952
558;Agnieszka;Witas;Politechnika Krolewska;Mlynarze;V;1914
559;Andrzej;Baran;Politechnika Informatyczno-Elektroniczna;Wodzislaw Slaski;I;1390
560;Feliks;Bawarski;Uniwersytet Krolewski;Katowice;I;433
561;Kinga;Matuszyk;Politechnika Krolewska;Zabrze;I;562
562;Grzegorz;Borutawski;Politechnika Krolewska;Nowy Targ;I;2859
563;Wiktor;Basajski;Politechnika Krolewska;Ruda Slaska;II;920
564;Sylwester;Jasinski;Politechnika Informatyczno-Elektroniczna;Szczyrk;III;1216
565;Zofia;Ciechowska;Uniwersytet Krolewski;Szczyrk;II;2652
566;Adam;Bialczak;Politechnika Informatyczno-Elektroniczna;Szczekociny;I;1676
567;Filip;Baczek;Akademia Sztuk Pieknych;Tychy;I;459
568;Felicja;Latas;Uniwersytet Krolewski;Myslowice;II;592
569;Aleksy;Dudek;Uniwersytet Pedagogiczny;Tychy;II;2544
570;Krzysztof;Chorzyk;Politechnika Informatyczno-Elektroniczna;Limanowa;I;1037
571;Krzysztof;Kryszkiewicz;Uniwersytet Krolewski;Istebna;III;390
572;Robert;Zielinski;Politechnika Krolewska;Nowy Targ;V;2538
573;Zachariasz;Msciwujewski;Uniwersytet Krolewski;Zyrardow;II;3044
574;Jakub;Dukowski;Uniwersytet Krolewski;Chorzow;I;2983
575;Anastazja;Litwin;Uniwersytet Rolniczy;Nowy Targ;I;889
576;Tomasz;Gronus;Uniwersytet Krolewski;Terespol;V;389
577;Zofia;Adamowicz;Uniwersytet Krolewski;Klomnice;II;439
578;Wislaw;Kowalski;Politechnika Informatyczno-Elektroniczna;Radom;II;3208
579;Konstantyn;Piatek;Uniwersytet Krolewski;Legnica;I;350
580;Paulina;Uszek;Politechnika Krolewska;Deblin;I;1937
581;Andrzej;Kuras;Akademia Sztuk Pieknych;Kolbaskowo;V;838
582;Beata;Cagara;Politechnika Informatyczno-Elektroniczna;Gieraltowice;IV;1698
583;Barbara;Balwierz;Uniwersytet Krolewski;Krzeszowice;V;2746
584;Anna;Antosiewicz;Uniwersytet Pedagogiczny;Siemianowice Slaskie;I;569
585;Sara;Koterba;Uniwersytet Krolewski;Zawiercie;I;1389
586;Miroslawa;Krasuska;Politechnika Krolewska;Myszkow;III;3018
587;Patrycja;Kochanska;Uniwersytet Krolewski;Nowy Sacz;I;1111
588;Tomasz;Ichniowski;Uniwersytet Krolewski;Krapkowice;II;783
589;Stanislaw;Bialkowski;Politechnika Krolewska;Slawkow;II;3244
590;Piotr;Kalicinski;Uniwersytet Krolewski;Mikolow;III;1155
591;Roman;Banasik;Uniwersytet Rolniczy;Sanok;I;2845
592;Michal;Zawadzki;Politechnika Krolewska;Rajcza;I;1501
593;Klaudia;Janecka;Akademia Sztuk Pieknych;Jejkowice;I;1257
594;Danuta;Chyza;Politechnika Informatyczno-Elektroniczna;Rzeszow;III;1787
595;Bartosz;Grzesik;Uniwersytet Krolewski;Nysa;I;725
596;Milosz;Michalski;Politechnika Informatyczno-Elektroniczna;Katowice;II;493
597;Michal;Baja;Uniwersytet Ekonomiczny;Chelm;I;2916
598;Marcin;Bielak;Uniwersytet Krolewski;Siemianowice Slaskie;I;1164
599;Henryk;Chlopicki;Uniwersytet Krolewski;Mikolow;I;951
600;Marcin;Jader;Politechnika Informatyczno-Elektroniczna;Ledziny;I;1074
601;Elzbieta;Sikora;Politechnika Informatyczno-Elektroniczna;Naleczow;IV;2468
602;Ewa;Barek;Uniwersytet Sportu i Turystyki;Alwernia;I;2880
603;Kinga;Kaszyca;Politechnika Informatyczno-Elektroniczna;Zamosc;I;1299
604;Piotr;Pszczola;Uniwersytet Ekonomiczny;Myslowice;I;1048
605;Barbara;Banowska;Politechnika Informatyczno-Elektroniczna;Sosnowiec;I;2846
606;Piotr;Jedruszczak;Uniwersytet Krolewski;Tychy;I;2995
607;Zofia;Boska;Uniwersytet Krolewski;Tomaszow Lubelski;II;3037
608;Joanna;Para;Politechnika Krolewska;Wadowice;II;1930
609;Kamila;Borowska;Politechnika Krolewska;Siemianowice Slaskie;I;2743
610;Monika;Chrzanik;Politechnika Krolewska;Gliwice;I;2943
611;Marek;Wypchlo;Uniwersytet Krolewski;Sanok;I;1041
612;Michal;Lowik;Uniwersytet Krolewski;Ilawa;III;1437
613;Wojciech;Janocha;Uniwersytet Pedagogiczny;Piwniczna-Zdroj;II;3289
614;Tomasz;Basinski;Politechnika Informatyczno-Elektroniczna;Katowice;II;1032
615;Klaudiusz;Ostrowski;Uniwersytet Krolewski;Nowy Targ;III;1555
616;Danuta;Telejko;Politechnika Informatyczno-Elektroniczna;Zabrze;IV;996
617;Michal;Rokosz;Politechnika Informatyczno-Elektroniczna;Zgorzelec;II;751
618;Piotr;Pienkowski;Politechnika Informatyczno-Elektroniczna;Tarnobrzeg;I;1425
619;Jan;Razny;Akademia Sztuk Pieknych;Tworog;III;1732
620;Stefan;Wlodarczyk;Politechnika Krolewska;Chorzow;IV;571
621;Zofia;Kielbus;Uniwersytet Ekonomiczny;Prudnik;II;1384
622;Celina;Dobrzanska;Uniwersytet Rolniczy;Siewierz;I;3324
623;Joanna;Letka;Politechnika Informatyczno-Elektroniczna;Oswiecim;II;2560
624;Katarzyna;Oleksy;Uniwersytet Krolewski;Zywiec;I;2117
625;Jan;Trzmielewski;Politechnika Informatyczno-Elektroniczna;Lwowek Slaski;II;2094
626;Helena;Gawlicz;Uniwersytet Krolewski;Aleksandrow Kujawski;I;2349
627;Tomasz;Mazurek;Politechnika Krolewska;Kuznica Bialostocka;V;2409
628;Roch;Lechowicz;Uniwersytet Krolewski;Mikolow;II;2674
629;Marek;Nosowski;Politechnika Informatyczno-Elektroniczna;Bialaszewo;I;486
630;Kamil;Kwiatkowski;Politechnika Informatyczno-Elektroniczna;Bransk;IV;3318
631;Adam;Banas;Politechnika Informatyczno-Elektroniczna;Krzeszowice;I;1991
632;Katarzyna;Jokiel;Akademia Sztuk Pieknych;Ogrodzieniec;I;847
633;Pawel;Jasiak;Wyzsza Szko³a Techniczna;Wloclawek;I;3277
634;Wojciech;Musiol;Uniwersytet Krolewski;Mikolow;III;2972
635;Weronika;Kaczmarek;Politechnika Krolewska;Wodzislaw Slaski;II;1140
636;Pawel;Janowicz;Politechnika Informatyczno-Elektroniczna;Miechow;I;2133
637;Miron;Sledziak;Politechnika Informatyczno-Elektroniczna;Szczecin;III;2397
638;Iwona;Kromolowska;Uniwersytet Krolewski;Klomnice;I;2387
639;Sylwester;Borkowski;Politechnika Krolewska;Szczyrk;IV;1683
640;Zuzanna;Wronska;Politechnika Informatyczno-Elektroniczna;Skierniewice;II;878
641;Tomasz;Koscielny;Politechnika Informatyczno-Elektroniczna;Myslowice;II;2245
642;Ada;Drukarczyk;Politechnika Informatyczno-Elektroniczna;Myslowice;I;2353
643;Karol;Andrus;Politechnika Krolewska;Nowy Targ;V;1775
644;Alicja;Medynska;Politechnika Krolewska;Krzyz Wielkopolski;I;590
645;Katarzyna;Kwiecien;Politechnika Informatyczno-Elektroniczna;Bielsko - Biala;II;772
646;Felicja;Ostrowska;Uniwersytet Rolniczy;Tarnowskie Gory;II;2466
647;Barbara;Przywarska;Politechnika Krolewska;Sosnowiec;I;3020
648;Malwina;Kabala;Politechnika Informatyczno-Elektroniczna;Wadowice;I;2691
649;Lucyna;Trzopek;Uniwersytet Krolewski;Slawkow;V;2758
650;Kamil;Polkowski;Politechnika Krolewska;Katowice;II;357
651;Czeslawa;Kalinowska;Uniwersytet Krolewski;Brzesko;V;2752
652;Emilia;Banach;Politechnika Informatyczno-Elektroniczna;Rogoznik;I;2695
653;Wiktoria;Gorska;Politechnika Informatyczno-Elektroniczna;Zory;II;391
654;Dariusz;Hentelski;Uniwersytet Krolewski;Siewierz;I;1750
655;Pawel;Pawlowski;Politechnika Krolewska;Konin;I;2802
656;Krzysztof;Siemion;Uniwersytet Sportu i Turystyki;Radom;V;2344
657;Marcin;Bienkowski;Politechnika Informatyczno-Elektroniczna;Bedzin;I;3025
658;Artur;Dartcjan;Politechnika Informatyczno-Elektroniczna;Piechowice;I;1008
659;Felicja;Adamkowska;Uniwersytet Krolewski;Nowy Sacz;I;617
660;Karolina;Naparstek;Politechnika Informatyczno-Elektroniczna;Nowy Sacz;I;2409
661;Aleksandra;Wybraniec;Uniwersytet Krolewski;Koszalin;I;764
662;Michal;Otwinowski;Uniwersytet Krolewski;Ustron;I;2659
663;Lechoslawa;Burcz;Uniwersytet Rolniczy;Kobylin-Borzymy;III;2874
664;Bozena;Sowa;Uniwersytet Pedagogiczny;Siewierz;I;691
665;Kacper;Luty;Uniwersytet Krolewski;Wodzislaw Slaski;III;3201
666;Wioletta;Pacula;Uniwersytet Krolewski;Pila;V;2742
667;Szczepan;Sobczak;Uniwersytet Krolewski;Myslowice;V;902
668;Kacper;Babinski;Uniwersytet Krolewski;Wadowice;I;831
669;Alicja;Barczynska;Uniwersytet Krolewski;Bezledy;I;2679
670;Ewelina;Kobus;Politechnika Informatyczno-Elektroniczna;Bransk;I;811
671;Agnieszka;Lencznarowicz;Uniwersytet Krolewski;Myszkow;III;478
672;Barbara;Barszczykiewicz;Politechnika Krolewska;Swieradow-Zdroj;I;2827
673;Klara;Lipiec;Politechnika Informatyczno-Elektroniczna;Rabka;I;355
674;Jacek;Zuchowicz;Politechnika Informatyczno-Elektroniczna;Wisla;II;1668
675;Andrzej;Wisniewski;Politechnika Krolewska;Katowice;I;2322
676;Oskar;Kolodziej;Politechnika Informatyczno-Elektroniczna;Gdynia;II;1535
677;Jakub;Piotrowski;Politechnika Informatyczno-Elektroniczna;Szczyrk;IV;2456
678;Bogumila;Grubba;Uniwersytet Krolewski;Sosnicowice;V;858
679;Sandra;Swiatek;Uniwersytet Sportu i Turystyki;Ogrodzieniec;I;2456
680;Anna;Barciszewska;Uniwersytet Rolniczy;Rogoznik;I;709
681;Maryla;Ciechowicz;Uniwersytet Krolewski;Pszczyna;I;2219
682;Katarzyna;Garbacz;Uniwersytet Krolewski;Wadowice;I;2010
683;Jaroslaw;Walewski;Politechnika Informatyczno-Elektroniczna;Ogrodzieniec;II;356
